target_label,definition,aoa
bird,bird,17
birdie,bird,17
cat,cat,18
chicken,chicken (animal),23
cow,cow,20
dog,dog,14
doggy,dog,14
duck,duck,17
elephant,elephant,23
fish,fish (animal),19
frog,frog,22
kitty,kitty,18
kittycat,kitty,18
lion,lion,23
monkey,monkey,21
pig,pig,21
teddy,teddybear,23
zebra,zebra,25
bike,bicycle,22
bus,bus,21
car,car,17
ball,ball,12
blocks,block,21
book,book,16
chalk,chalk,27
puzzle,puzzle,24
toy,toy (object),21
apple,apple,18
banana,banana,16
cake,cake,22
carrot,carrots,24
donut,donut,26
drink,drink (beverage),21
grapes,grapes,22
juice,juice,18
muffin,muffin,26
peas,peas,25
pudding,pudding,29
strawberry,strawberry,24
water,water (beverage),19
belt,belt,26
bib,bib,24
boot,boots,23
diapey,diaper,19
dress,dress (object),25
glove,gloves,27
necklace,necklace,26
shoe,shoe,16
shoes,shoe,16
shorts,shorts,25
slipper,slipper,27
sock,sock,21
socks,sock,21
zipper,zipper,25
waterbottle,bottle,19
box,box,22
brush,brush,22
bucket,bucket,26
can,can (object),27
clock,clock,23
comb,comb,25
glasses,glasses,23
hammer,hammer,26
knife,knife,25
lamp,lamp,28
plate,plate,24
purse,purse,25
scissors,scissors,26
tape,tape,26
phone,telephone,21
bed,bed,21
chair,chair,21
crib,crib,26
door,door,20
flag,flag,26
hose,hose,27
ladder,ladder,27
shovel,shovel,26
slide,slide (object),23
baby,baby,16
black,black,26
blue,blue,23
brown,brown,27
green,green,24
orange,orange (description),24
red,red,24
white,white,27
yellow,yellow,24
