dataset_name,N,unique_items,mean_age,min_age,max_age,prop_looking,prop_looking_lower_ci,prop_looking_upper_ci
adams_marchman_2018,69,8,17,14,19,0.6439790271867569,0.6255075090718392,0.6624505453016747
attword_processed,285,6,26,13,59,0.6280285682634746,0.6135322060958786,0.6425249304310707
byers-heinlein_2017,48,6,20,19,21,0.5481666029766973,0.5168191139206695,0.5795140920327251
casillas_tseltal_2015,23,30,31,9,48,0.5858036321047612,0.5435295352950847,0.6280777289144376
frank_tablet_2016,68,24,36,12,60,0.633947164727482,0.5974460156750372,0.6704483137799269
garrison_bergelson_2020,30,87,15,12,18,0.5982986704111704,0.5610471923834217,0.635550148438919
mahr_coartic,29,10,21,18,24,0.69989713433418,0.6694125048592434,0.7303817638091166
perry_cowpig,45,12,20,19,22,0.6047741030049001,0.5793629455214065,0.6301852604883936
pomper_saffran_2016,60,40,44,41,47,0.7666431872012369,0.7464337850022323,0.7868525894002415
pomper_salientme,44,16,40,38,43,0.7282383630691373,0.7109854495032897,0.7454912766349848
potter_canine,36,16,24,21,27,0.6412036629187851,0.6102546254318124,0.6721527004057577
potter_remix,44,8,23,18,29,0.6217516078653366,0.5818169945238595,0.6616862212068136
reflook_socword,411,6,34,12,70,0.6115699717354138,0.5959307664136883,0.6272091770571394
reflook_v4,42,10,35,11,60,0.6120240970484058,0.5737410327211733,0.6503071613756383
swingley_aslin_2002,50,22,15,14,16,0.5672353970916024,0.5483296915904237,0.5861411025927812
